Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
22000,1.3055316e-05,-12769.744,895355.1,0.14246485,1.0000001e-05,-1.0,2078.0,-1.0
44000,1.3055208e-05,-11067.03,935578.75,0.14253694,1.0000002e-05,-1.0,2233.6,-1.0
66000,1.3055208e-05,-9499.089,751547.9,0.13435768,1.0000002e-05,-1.0,2218.6666666666665,-1.0
88000,1.3055207e-05,-7891.1665,466408.06,0.13096055,1.0000002e-05,-1.0,2229.375,-1.0
110000,1.3055208e-05,-6424.6978,317213.78,0.13416827,1.0000002e-05,-1.0,2403.222222222222,-1.0
132000,1.3055207e-05,-5251.845,222111.17,0.13613114,1.0000002e-05,-1.0,2417.5,-1.0
154000,1.3055208e-05,-4307.7173,144516.77,0.13172787,1.0000002e-05,-1.0,2186.1,-1.0
176000,1.3055208e-05,-3558.9712,99798.55,0.13588782,1.0000002e-05,-1.0,2283.3,-1.0
198000,1.3055208e-05,-2950.4324,63042.65,0.12923016,1.0000002e-05,-1.0,2308.222222222222,-1.0
220000,1.3055207e-05,-2483.1096,43535.977,0.12923044,1.0000002e-05,-1.0,2450.7,-1.0
242000,1.3055208e-05,-2127.1296,32964.46,0.13091347,1.0000002e-05,-1.0,2248.1111111111113,-1.0
264000,1.3055208e-05,-1843.6785,23385.766,0.12703006,1.0000002e-05,-1.0,2579.1111111111113,-1.0
286000,1.3055208e-05,-1655.7522,20584.287,0.1332691,1.0000002e-05,-1.0,2299.625,-1.0
308000,1.3055207e-05,-1530.0892,16395.607,0.12946397,1.0000002e-05,-1.0,2525.875,-1.0
330000,1.3055208e-05,-1413.7828,14123.831,0.12319816,1.0000002e-05,-1.0,2549.0,-1.0
352000,1.3055208e-05,-1341.43,12933.269,0.1274275,1.0000002e-05,-1.0,2324.75,-1.0
374000,1.3055208e-05,-1261.4436,11474.374,0.13255018,1.0000002e-05,-1.0,2383.3,-1.0
396000,1.3055209e-05,-1196.1362,10958.246,0.13578546,1.0000002e-05,-1.0,2162.4,-1.0
418000,1.3055207e-05,-1121.3956,9339.59,0.12821454,1.0000002e-05,-1.0,2299.0,-1.0
440000,1.3055208e-05,-1057.6727,8334.427,0.1316783,1.0000002e-05,-1.0,2341.777777777778,-1.0
462000,1.3055207e-05,-978.1316,6375.702,0.13225685,1.0000002e-05,-1.0,2220.375,-1.0
484000,1.3055208e-05,-882.46655,5352.6196,0.12996878,1.0000002e-05,-1.0,2519.125,-1.0
